measure_env	evolution_env	replicate	transfer	od600
bact	anc	B	6	0.101
bact	anc	C	6	0.099
bact	anc	D	6	0.108
bact	anc	E	6	0.104
bact	anc	F	6	0.105
bact_pred	bact	A	6	0.064
bact_pred	bact	B	6	0.095
bact_pred	bact	C	6	0.116
bact_pred	bact	D	6	0.086
bact_pred	bact	E	6	0.056
bact_pred	bact	F	6	0.111
bact_pred	bact_pred	A	6	0.106
bact_pred	bact_pred	B	6	0.107
bact_pred	bact_pred	C	6	0.103
bact_pred	bact_pred	D	6	0.056
bact_pred	bact_pred	E	6	0.054
bact_pred	bact_pred	F	6	0.072
bact_pred	bact_strep	A	6	0.137
bact_pred	bact_strep	B	6	0.12
bact_pred	bact_strep	C	6	0.138
bact_pred	bact_strep	D	6	0.153
bact_pred	bact_strep	E	6	0.133
bact_pred	bact_strep	F	6	0.079
bact_pred	bact_pred_strep	A	6	0.124
bact_pred	bact_pred_strep	B	6	0.17
bact_pred	bact_pred_strep	C	6	0.134
bact_pred	bact_pred_strep	D	6	0.093
bact_pred	bact_pred_strep	E	6	0.059
bact_pred	bact_pred_strep	F	6	0.182
bact_pred	anc	A	6	0.113
bact_pred	anc	B	6	0.177
bact_pred	anc	C	6	0.136
bact_pred	anc	D	6	0.114
bact_pred	anc	E	6	0.07
bact_pred	anc	F	6	0.08
bact_strep	bact	A	6	0.1
bact_strep	bact	B	6	0.105
bact_strep	bact	C	6	0.119
bact_strep	bact	D	6	0.118
bact_strep	bact	E	6	0.097
bact_strep	bact	F	6	0.101
bact_strep	bact_pred	A	6	0.096
bact_strep	bact_pred	B	6	0.094
bact_strep	bact_pred	C	6	0.091
bact_strep	bact_pred	D	6	0.094
bact_strep	bact_pred	E	6	0.103
bact_strep	bact_pred	F	6	0.098
bact_strep	bact_strep	A	6	0.103
bact_strep	bact_strep	B	6	0.127
bact_strep	bact_strep	C	6	0.11
bact_strep	bact_strep	D	6	0.095
bact_strep	bact_strep	E	6	0.098
bact_strep	bact_strep	F	6	0.093
bact_strep	bact_pred_strep	A	6	0.094
bact_strep	bact_pred_strep	B	6	0.088
bact_strep	bact_pred_strep	C	6	0.093
bact_strep	bact_pred_strep	D	6	0.098
bact_strep	bact_pred_strep	E	6	0.083
bact_strep	bact_pred_strep	F	6	0.097
bact_strep	anc	A	6	0.094
bact_strep	anc	B	6	0.097
bact_strep	anc	C	6	0.098
bact_strep	anc	D	6	0.095
bact_strep	anc	E	6	0.097
bact_strep	anc	F	6	0.097
bact_pred_strep	bact	A	6	0.08
bact_pred_strep	bact	B	6	0.064
bact_pred_strep	bact	C	6	0.054
bact_pred_strep	bact	D	6	0.059
bact_pred_strep	bact	E	6	0.095
bact_pred_strep	bact	F	6	0.079
bact_pred_strep	bact_pred	A	6	0.079
bact_pred_strep	bact_pred	B	6	0.052
bact_pred_strep	bact_pred	C	6	0.061
bact_pred_strep	bact_pred	D	6	0.061
bact_pred_strep	bact_pred	E	6	0.06
bact_pred_strep	bact_pred	F	6	0.076
bact_pred_strep	bact_strep	A	6	0.083
bact_pred_strep	bact_strep	B	6	0.074
bact_pred_strep	bact_strep	C	6	0.071
bact_pred_strep	bact_strep	D	6	0.079
bact_pred_strep	bact_strep	E	6	0.065
bact_pred_strep	bact_strep	F	6	0.052
bact_pred_strep	bact_pred_strep	A	6	0.11
bact_pred_strep	bact_pred_strep	B	6	0.065
bact_pred_strep	bact_pred_strep	C	6	0.058
bact_pred_strep	bact_pred_strep	D	6	0.135
bact_pred_strep	bact_pred_strep	E	6	0.087
bact_pred_strep	bact_pred_strep	F	6	0.156
bact_pred_strep	anc	A	6	0.105
bact_pred_strep	anc	B	6	0.118
