measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred_strep	anc	E	9	20400
bact_pred_strep	anc	F	9	0
bact_pred_strep	bact	A	9	22361
bact_pred_strep	bact	B	9	0
bact_pred_strep	bact	C	9	44722
bact_pred_strep	bact	D	9	45507
bact_pred_strep	bact	E	9	4708
bact_pred_strep	bact	F	9	17261
bact_pred_strep	bact_strep	A	9	23146
bact_pred_strep	bact_strep	B	9	42761
bact_pred_strep	bact_strep	C	9	46684
bact_pred_strep	bact_strep	D	9	18830
bact_pred_strep	bact_strep	E	9	46684
bact_pred_strep	bact_strep	F	9	32953
bact_pred_strep	bact_pred	A	9	19615
bact_pred_strep	bact_pred	B	9	22753
bact_pred_strep	bact_pred	C	9	25499
bact_pred_strep	bact_pred	D	9	29422
bact_pred_strep	bact_pred	E	9	30207
bact_pred_strep	bact_pred	F	9	12161
bact_pred_strep	bact_pred_strep	A	9	20007
bact_pred_strep	bact_pred_strep	B	9	10200
bact_pred_strep	bact_pred_strep	C	9	27853
bact_pred_strep	bact_pred_strep	D	9	20400
bact_pred_strep	bact_pred_strep	E	9	17261
bact_pred_strep	bact_pred_strep	F	9	9415
bact_pred	anc	A	10	17261
bact_pred	anc	B	10	9415
bact_pred	anc	C	10	5492
bact_pred	anc	D	10	5100
bact_pred	anc	E	10	8238
bact_pred	anc	F	10	10984
bact_pred	bact	A	10	6277
bact_pred	bact	B	10	23930
bact_pred	bact	C	10	7846
bact_pred	bact	D	10	2746
bact_pred	bact	E	10	6669
bact_pred	bact	F	10	6669
bact_pred	bact_strep	A	10	3531
bact_pred	bact_strep	B	10	3531
bact_pred	bact_strep	C	10	3138
bact_pred	bact_strep	D	10	5100
bact_pred	bact_strep	E	10	5100
bact_pred	bact_strep	F	10	3923
bact_pred	bact_pred	A	10	4708
bact_pred	bact_pred	B	10	1961
bact_pred	bact_pred	C	10	17261
bact_pred	bact_pred	D	10	1569
bact_pred	bact_pred	E	10	785
bact_pred	bact_pred	F	10	2354
bact_pred	bact_pred_strep	A	10	5492
bact_pred	bact_pred_strep	B	10	2746
bact_pred	bact_pred_strep	C	10	1961
bact_pred	bact_pred_strep	D	10	6669
bact_pred	bact_pred_strep	E	10	6277
bact_pred	bact_pred_strep	F	10	3923
bact_pred_strep	anc	A	10	0
bact_pred_strep	anc	B	10	5492
bact_pred_strep	anc	C	10	7454
bact_pred_strep	anc	D	10	10592
bact_pred_strep	anc	E	10	12554
bact_pred_strep	anc	F	10	0
bact_pred_strep	bact	A	10	8238
bact_pred_strep	bact	B	10	27461
bact_pred_strep	bact	C	10	11769
bact_pred_strep	bact	D	10	15692
bact_pred_strep	bact	E	10	27069
bact_pred_strep	bact	F	10	7846
bact_pred_strep	bact_strep	A	10	4315
bact_pred_strep	bact_strep	B	10	12554
bact_pred_strep	bact_strep	C	10	16869
bact_pred_strep	bact_strep	D	10	2746
bact_pred_strep	bact_strep	E	10	14123
bact_pred_strep	bact_strep	F	10	7061
bact_pred_strep	bact_pred	A	10	1569
bact_pred_strep	bact_pred	B	10	4708
bact_pred_strep	bact_pred	C	10	5884
bact_pred_strep	bact_pred	D	10	8631
bact_pred_strep	bact_pred	E	10	11377
bact_pred_strep	bact_pred	F	10	1569
bact_pred_strep	bact_pred_strep	A	10	7454
bact_pred_strep	bact_pred_strep	B	10	2354
bact_pred_strep	bact_pred_strep	C	10	4315
bact_pred_strep	bact_pred_strep	D	10	3531
bact_pred_strep	bact_pred_strep	E	10	5884
bact_pred_strep	bact_pred_strep	F	10	6669
bact_pred	anc	A	11	2746
